H1.1,H1.2,H2.1,H4.1,H6.1
CCDC61,1,1,17,1,8
MIR769,0,0,0,0,0
PGLYRP1,0,0,0,0,0
IGFL4,0,0,1,1,0
IGFL3,0,0,0,0,7
IGFL2,0,0,3,0,0
IGFL2-AS1,0,0,0,0,0
LOC93429,0,0,0,0,0
IGFL1,0,0,0,0,0
HIF3A,4,0,22,1,9
PPP5C,12,0,145,27,84
CCDC8,2,0,89,7,32
PNMA8A,3,2,41,4,13
PPP5D1,0,0,6,1,1
PNMA8B,0,0,26,2,7
CALM3,81,15,1488,179,688
PTGIR,0,0,0,0,0
GNG8,1,0,0,0,1
DACT3,0,0,29,0,8
DACT3-AS1,0,0,0,0,0
PRKD2,5,0,24,8,22
MIR320E,0,0,0,0,0
STRN4,5,4,184,31,58
FKRP,0,1,57,3,13
SLC1A5,45,3,707,140,166
SNAR-E,0,0,0,0,0
AP2S1,214,53,2258,315,1055
ARHGAP35,6,2,161,18,21
NPAS1,3,0,20,2,3
TMEM160,83,18,988,138,383
ZC3H4,8,1,69,11,51
SAE1,40,4,812,81,156
BBC3,6,1,174,39,74
MIR3190,0,0,0,0,0
MIR3191,0,0,0,0,0
CCDC9,1,1,48,6,18
INAFM1,6,0,121,11,26
C5AR1,0,0,0,0,0
C5AR2,0,0,1,0,1
DHX34,2,0,19,2,10
MEIS3,26,5,503,35,232
SLC8A2,0,1,6,0,1
KPTN,9,0,65,8,24
NAPA-AS1,0,0,6,0,1
NAPA,12,2,240,34,140
ZNF541,0,0,0,0,0
BICRA,1,0,48,6,24
EHD2,1,0,3,1,23
NOP53,61,19,704,139,315
SNORD23,0,0,0,0,0
NOP53-AS1,0,0,0,0,0
SELENOW,176,36,2478,248,1511
TPRX1,0,0,0,0,0
CRX,0,0,2,1,0
SULT2A1,0,0,0,0,1
SNAR-A12,0,0,0,0,0
SNAR-A13,0,0,0,0,0
SNAR-C1,0,0,0,0,0
SNAR-C2,0,0,0,0,0
SNAR-C5,0,0,0,0,0
SNAR-A1,0,0,0,0,0
SNAR-A2,0,0,0,0,0
SNAR-A10,0,0,0,0,0
SNAR-A11,0,0,0,0,0
SNAR-A14,0,0,0,0,0
SNAR-A3,0,0,0,0,0
SNAR-A4,0,0,0,0,0
SNAR-A5,0,0,0,0,0
SNAR-A6,0,0,0,0,0
SNAR-A7,0,0,0,0,0
SNAR-A8,0,0,0,0,0
SNAR-A9,0,0,0,0,0
SNAR-C4,0,0,11,4,0
SNAR-C3,0,1,20,6,9
BSPH1,0,0,0,0,0
ELSPBP1,0,0,0,0,0
CABP5,0,0,0,0,0
PLA2G4C,1,0,1,0,1
PLA2G4C-AS1,0,0,0,0,0
LIG1,16,5,332,16,53
ZSWIM9,4,1,23,9,2
CARD8,2,0,60,3,9
CARD8-AS1,0,0,8,1,0
ZNF114,0,0,34,6,15
CCDC114,0,0,0,0,0
EMP3,62,9,203,126,188
TMEM143,6,1,36,4,7
SYNGR4,0,0,0,0,0
KDELR1,132,34,2023,237,663
GRIN2D,0,0,5,0,2
GRWD1,24,1,283,40,90
KCNJ14,0,0,11,1,1
CYTH2,12,2,271,42,99
LMTK3,0,0,3,0,10
SULT2B1,0,0,0,0,0
FAM83E,1,0,0,0,0
SPACA4,0,0,0,0,0
RPL18,1013,292,13088,2479,7068
SPHK2,2,1,30,4,7
DBP,2,2,44,5,5
CA11,7,6,42,2,14
SEC1P,0,1,0,0,0
NTN5,0,0,0,0,0
FUT2,1,2,0,0,1
LOC105447645,0,0,1,0,0
MAMSTR,0,2,11,0,3
RASIP1,0,0,3,1,5
IZUMO1,0,0,0,0,0
FUT1,0,0,2,1,3
FGF21,0,0,0,2,0
BCAT2,8,0,97,14,18
HSD17B14,2,3,119,6,23
PLEKHA4,1,1,16,2,1
PPP1R15A,7,0,202,115,81
TULP2,0,0,0,0,0
NUCB1,19,1,339,25,76
NUCB1-AS1,0,0,0,0,0
DHDH,0,0,13,0,7
BAX,131,35,1733,197,1053
FTL,1614,387,19895,5743,14361
GYS1,1,1,22,4,11
RUVBL2,23,3,258,53,93
MIR6798,0,0,0,0,0
LHB,0,0,0,0,0
LOC101059948,0,0,0,0,0
CGB3,0,0,0,0,0
SNAR-G2,0,0,0,0,0
CGB2,0,0,0,0,0
CGB1,0,0,0,0,0
SNAR-G1,0,0,7,0,1
CGB5,0,0,0,0,0
CGB8,0,0,0,0,0
CGB7,0,0,1,0,0
NTF4,1,0,8,0,3
KCNA7,0,0,0,0,0
SNRNP70,92,22,1309,150,336
LIN7B,0,0,17,2,10
C19orf73,0,0,17,1,6
PPFIA3,3,2,41,12,13
HRC,0,0,0,0,0
TRPM4,1,0,4,0,5
SLC6A16,1,0,5,0,0
MIR4324,0,0,0,0,0
CD37,0,0,0,0,1
TEAD2,26,4,394,34,146
DKKL1,3,0,26,2,2
LOC101928295,0,0,0,0,0
CCDC155,0,0,0,0,0
PTH2,0,0,4,0,1
GFY,0,0,0,0,0
SLC17A7,0,0,1,0,0
PIH1D1,51,24,679,84,212
ALDH16A1,9,3,214,9,71
FLT3LG,0,0,1,0,0
RPL13A,289,51,2043,469,1438
SNORD32A,0,0,0,0,0
SNORD33,0,0,0,0,0
SNORD34,0,0,0,0,0
SNORD35A,0,0,1,0,0
RPS11,397,94,3169,673,1655
SNORD35B,0,0,0,0,0
MIR150,0,0,0,0,0
FCGRT,0,0,25,8,12
RCN3,0,1,7,3,12
NOSIP,34,5,455,81,256
PRRG2,1,2,9,5,10
PRR12,2,1,79,8,27
RRAS,12,5,136,35,79
SCAF1,12,2,147,22,55
IRF3,22,8,191,28,125
BCL2L12,41,8,647,70,319
PRMT1,303,39,3971,432,1293
MIR5088,0,0,0,0,0
ADM5,3,2,17,1,2
CPT1C,6,3,51,9,7
TSKS,0,0,0,0,0
AP2A1,19,8,218,32,85
MIR6799,0,0,0,0,0
FUZ,9,1,169,7,23
MED25,7,0,118,15,52
MIR6800,0,0,0,0,0
PTOV1-AS1,2,1,3,3,0
PTOV1,43,9,598,73,225
MIR4749,0,0,0,0,0
PTOV1-AS2,2,0,8,3,3
PNKP,15,0,183,27,55
AKT1S1,16,1,160,17,84
TBC1D17,6,0,34,6,40
MIR4750,0,0,0,0,0
IL4I1,0,0,2,1,1
NUP62,26,6,404,43,60
ATF5,16,0,267,124,38
MIR4751,0,0,0,0,0
SIGLEC11,0,0,0,0,0
SIGLEC16,0,0,0,0,0
VRK3,4,2,124,17,38
ZNF473,1,0,35,3,9
LOC400710,0,0,1,0,0
SNAR-B1,0,0,0,0,0
SNAR-B2,0,0,0,0,0
SNAR-D,0,0,0,0,0
IZUMO2,0,0,0,0,0
MYH14,0,0,5,0,6
KCNC3,0,0,13,1,5
NAPSB,0,0,0,0,0
NAPSA,0,0,0,1,0
NR1H2,7,2,118,19,77
POLD1,13,0,165,13,32
SPIB,0,0,0,0,1
MYBPC2,0,0,1,0,1
FAM71E1,1,3,30,4,8
EMC10,22,7,370,63,131
JOSD2,2,1,70,11,69
ASPDH,0,0,0,0,0
LRRC4B,7,3,144,12,3
SNAR-F,0,0,0,0,0
SYT3,0,1,14,0,3
C19orf81,3,1,30,5,8
SHANK1,0,0,11,0,0
CLEC11A,15,4,224,23,58
GPR32,0,0,0,0,0
LOC105372440,0,0,0,0,1
ACP4,0,0,0,0,0
C19orf48,40,5,722,122,186
SNORD88B,0,0,0,0,0
SNORD88A,0,0,0,0,0
SNORD88C,0,0,0,0,0
LINC01869,0,0,0,0,0
KLK1,0,0,0,0,1
KLK15,0,0,0,0,0
LOC105372441,0,0,0,0,0
KLK3,0,0,0,0,0
KLK2,0,0,0,0,0
KLKP1,0,0,0,0,0
KLK4,0,0,0,0,0
KLK5,1,0,0,0,0
KLK6,0,0,3,1,12
KLK7,0,0,0,0,0
KLK8,0,0,0,0,4
KLK9,0,0,0,0,0
KLK10,0,0,0,0,2
KLK11,0,0,0,0,0
KLK12,0,0,0,0,0
KLK13,0,0,0,0,1
KLK14,0,0,0,0,0
CTU1,6,0,110,17,36
SIGLEC9,0,0,0,0,0
SIGLEC7,0,0,0,0,0
LOC101928517,0,0,0,0,0
SIGLEC17P,0,0,0,0,0
MIR8074,0,0,0,0,0
CD33,0,0,0,0,0
SIGLECL1,0,0,0,0,0
LINC01872,0,0,0,0,0
IGLON5,2,8,189,25,27
VSIG10L,2,0,46,3,11
ETFB,21,7,392,38,473
CLDND2,0,1,2,0,0
NKG7,0,0,0,0,1
LIM2,1,0,3,0,0
C19orf84,0,0,0,0,1
SIGLEC10,0,0,0,0,0
LOC100129083,0,0,3,1,0
SIGLEC8,0,0,0,0,0
CEACAM18,0,0,0,0,0
SIGLEC12,0,0,0,0,0
SIGLEC6,0,0,0,0,0
ZNF175,0,0,4,1,2
LINC01530,1,0,6,0,1
SIGLEC5,0,0,0,0,0
SIGLEC14,0,0,0,0,0
SPACA6P-AS,0,0,0,2,0
SPACA6,1,0,20,4,5
MIR99B,0,0,0,0,0
MIRLET7E,0,0,0,0,0
MIR125A,0,0,0,0,0
HAS1,0,0,0,0,0
FPR1,0,0,0,0,0
FPR2,0,0,0,0,0
FPR3,0,0,0,0,0
ZNF577,3,3,46,8,13
ZNF649-AS1,0,0,0,0,0
ZNF649,5,1,88,12,37
ZNF613,0,0,11,2,7
ZNF350-AS1,0,0,0,0,0
ZNF350,0,0,9,4,11
ZNF615,0,1,5,0,5
ZNF614,3,0,32,8,20
ZNF432,1,0,33,3,5
ZNF841,2,1,7,0,5
ZNF616,2,0,30,4,6
ZNF836,1,0,8,1,4
PPP2R1A,41,13,756,80,265
MIR6801,0,0,0,0,0
ZNF766,7,2,170,24,47
MIR643,0,0,0,0,0
ZNF480,7,1,60,6,46
ZNF610,0,0,9,5,1
ZNF880,0,1,42,20,0
ZNF528-AS1,0,0,0,0,0
ZNF528,0,0,2,1,1
ZNF534,0,0,0,1,0
ZNF578,0,0,4,0,13
ZNF808,0,0,14,3,4
ZNF701,2,0,37,16,10
ZNF137P,0,0,3,0,0
ZNF83,1,3,45,8,11
ZNF611,1,1,14,9,26
ZNF600,0,0,4,0,17
ZNF28,3,0,14,3,14
ZNF468,1,1,10,2,15
ZNF320,5,1,52,10,27
ZNF888,1,0,3,0,1
ZNF321P,0,0,0,0,1
ZNF816-ZNF321P,0,0,0,0,1
ZNF816,0,0,23,1,12
ZNF702P,1,0,25,5,18
ERVV-1,0,0,0,0,0
ERVV-2,0,0,0,0,0
ZNF160,0,1,44,9,10
ZNF415,2,1,29,4,11
ZNF347,4,0,36,4,11
ZNF665,0,0,7,3,1
ZNF818P,0,0,1,0,1
ZNF677,0,0,17,0,11
VN1R2,0,0,0,0,1
VN1R4,0,0,0,0,0
FAM90A27P,0,0,0,0,0
BIRC8,0,0,0,0,0
ZNF845,3,0,16,5,7
ZNF525,0,1,9,3,15
ZNF765,1,1,15,3,15
ZNF765-ZNF761,0,0,0,0,0
TPM3P9,3,0,18,7,5
ZNF761,0,0,5,1,5
ZNF813,2,0,28,7,21
ZNF331,4,1,64,7,16
LOC284379,0,0,0,0,0
DPRX,0,0,0,0,0
MIR512-2,0,0,0,0,0
MIR512-1,0,0,0,0,0
MIR1323,0,0,0,0,0
MIR498,0,0,0,0,0
MIR520E,0,0,0,0,0
MIR515-1,0,0,0,0,0
MIR515-2,0,0,0,0,0
MIR519E,0,0,0,0,0
MIR520F,0,0,0,0,0
MIR519C,0,0,0,0,0
MIR1283-1,0,0,0,0,0
MIR520A,0,0,0,0,0
MIR526B,0,0,0,0,0
MIR519B,0,0,0,0,0
MIR525,0,0,0,0,0
MIR523,0,0,0,0,0
MIR518F,0,0,0,0,0
MIR520B,0,0,0,0,0
MIR518B,0,0,0,0,0
MIR526A1,0,0,0,0,0
MIR520C,0,0,0,0,0
MIR518C,0,0,0,0,0
MIR524,0,0,0,0,0
MIR517A,0,0,0,0,0
MIR519D,0,0,0,0,0
MIR521-2,0,0,0,0,0
MIR520D,0,0,0,0,0
MIR517B,0,0,0,0,0
MIR520G,0,0,0,0,0
MIR516B2,0,0,0,0,0
MIR526A2,0,0,0,0,0
MIR518E,0,0,0,0,0
MIR518A1,0,0,0,0,0
MIR518D,0,0,0,0,0
MIR516B1,0,0,0,0,0
MIR518A2,0,0,0,0,0
MIR517C,0,0,0,0,0
MIR520H,0,0,0,0,0
MIR521-1,0,0,0,0,0
MIR522,0,0,0,0,0
MIR519A1,0,0,0,0,0
MIR527,0,0,0,0,0
MIR516A1,0,0,0,0,0
MIR1283-2,0,0,0,0,0
MIR516A2,0,0,0,0,0
MIR519A2,0,0,0,0,0
MIR371A,0,0,0,0,0
MIR371B,0,0,0,0,0
MIR372,0,0,0,0,0
MIR373,0,0,0,0,0
NLRP12,0,0,0,0,16
MYADM,8,2,230,49,193
PRKCG,1,0,9,0,6
CACNG7,4,4,130,6,2
CACNG8,9,5,97,11,8
MIR935,0,0,0,0,0
CACNG6,0,0,0,0,1
VSTM1,4,0,1,0,0
TARM1,0,0,0,0,0
OSCAR,0,0,4,1,0
NDUFA3,35,15,424,36,129
TFPT,14,3,132,39,70
PRPF31,35,7,587,78,178
CNOT3,10,2,136,28,83
LENG1,5,0,91,24,61
TMC4,0,0,2,1,5
MBOAT7,27,5,180,19,181
TSEN34,18,1,631,47,143
RPS9,1045,281,11456,2485,5685
LILRB3,0,0,1,0,0
LILRA6,0,0,0,0,0
LILRB5,0,0,1,0,0
LILRB2,0,0,0,0,0
MIR4752,0,0,0,0,0
LILRA5,0,0,0,0,0
LILRA4,0,0,0,0,0
LAIR1,0,0,1,0,0
TTYH1,33,14,819,52,3
LENG8-AS1,0,0,12,3,3
LENG8,6,4,112,28,53
LENG9,0,0,4,3,12
CDC42EP5,3,2,22,1,1
LAIR2,0,0,0,0,0
KIR3DX1,0,0,0,0,0
LILRA2,0,0,0,0,0
LILRA1,0,0,0,0,0
LILRB1,0,0,0,0,0
MIR8061,0,0,0,0,0
LILRB4,0,0,0,0,0
LILRP2,0,0,0,0,0
KIR3DL3,0,0,0,0,0
KIR2DS5,0,0,0,0,0
KIR2DS3,0,0,0,0,0
KIR2DS4,0,0,0,0,0
KIR2DL1,0,0,0,0,0
KIR2DS2,0,0,0,0,0
KIR2DL3,0,0,0,0,0
KIR2DL2,0,0,0,0,0
LOC102725023,0,0,0,0,0
LOC101928804,0,0,0,0,0
LOC112267881,0,0,0,0,0
KIR2DS1,0,0,0,0,0
LOC112268354,0,0,0,0,0
KIR2DL4,0,0,0,0,0
KIR3DL1,0,0,0,0,0
LOC112268355,0,0,0,0,0
KIR3DS1,0,0,0,0,0
KIR3DL2,0,0,0,0,0
FCAR,0,0,0,0,0
NCR1,0,0,0,0,0
NLRP7,0,0,0,0,1
NLRP2,0,0,79,7,0
GP6,0,0,0,0,0
RDH13,0,0,63,11,13
EPS8L1,4,1,87,23,46
PPP1R12C,2,0,51,14,39
MIR7975,0,0,0,0,0
TNNT1,43,13,87,21,587
TNNI3,2,2,10,1,18
DNAAF3,0,0,14,0,2
SYT5,0,0,3,0,0
PTPRH,0,0,0,0,0
TMEM86B,1,0,5,0,4
PPP6R1,14,1,136,21,57
MIR6804,0,0,0,0,0
MIR6802,0,0,0,0,0
MIR6803,0,0,0,0,0
HSPBP1,16,1,199,30,67
BRSK1,3,1,29,2,3
TMEM150B,0,0,0,0,0
KMT5C,4,0,56,6,20
COX6B2,0,0,0,0,0
FAM71E2,0,0,0,0,0
IL11,2,0,41,52,23
TMEM190,0,0,0,0,6
TMEM238,0,0,7,2,23
RPL28,930,233,8125,1644,6178
MIR6805,0,0,0,0,0
UBE2S,310,44,5277,627,1417
SNORD157,0,0,0,0,0
SHISA7,0,0,2,1,0
ISOC2,29,7,356,32,235
ZNF628,0,1,29,7,21
NAT14,23,5,387,51,71
SSC5D,0,0,6,0,0
SBK2,0,0,1,0,1
SBK3,0,0,0,0,0
ZNF579,19,2,206,35,61
FIZ1,5,0,56,10,9
ZNF524,6,0,58,2,24
ZNF865,1,0,27,5,7
ZNF784,1,0,17,1,10
ZNF580,28,6,753,89,104
ZNF581,10,4,156,32,68
CCDC106,10,2,120,16,36
U2AF2,18,5,365,33,72
EPN1,28,4,459,70,237
NLRP9,0,0,1,0,0
RFPL4A,0,0,0,0,0
RFPL4AL1,0,0,0,0,0
NLRP11,0,0,0,0,0
NLRP4,0,0,0,0,0
NLRP13,0,0,0,0,0
NLRP8,0,0,0,0,0
NLRP5,0,0,0,0,0
LINC01864,0,0,0,0,0
ZNF787,26,5,332,61,113
ZNF444,11,1,198,30,70
GALP,0,0,23,0,0
ZSCAN5B,0,0,0,0,0
ZSCAN5C,0,0,0,0,0
ZSCAN5A,4,1,51,2,18
EDDM13,0,0,0,0,0
ZNF542P,1,1,135,32,18
ZNF582,0,0,27,1,4
ZNF582-AS1,0,1,38,5,4
ZNF583,2,0,33,5,7
ZNF667,5,2,0,0,3
ZNF667-AS1,8,3,0,0,1
ZNF471,0,0,10,0,2
ZFP28,0,0,13,0,4
ZNF470,1,0,20,3,4
ZNF71,5,1,118,11,24
ZNF71-SMIM17,0,0,0,0,0
SMIM17,0,0,0,0,0
ZNF835,0,0,3,0,0
ZIM2-AS1,0,0,0,0,0
ZIM2,0,0,0,0,0
PEG3,0,0,0,0,1
PEG3-AS1,0,0,0,0,0
MIMT1,0,0,0,0,0
USP29,0,0,0,0,0
ZIM3,0,0,0,0,0
DUXA,0,0,0,0,0
ZNF264,2,0,22,6,7
AURKC,0,0,5,0,3
ZNF805,4,2,37,7,18
ZNF460-AS1,0,0,0,1,1
ZNF460,3,1,24,6,6
ZNF543,2,0,14,4,2
ZNF304,0,0,7,6,7
ZNF547,1,0,12,4,3
TRAPPC2B,4,1,107,10,69
ZNF548,1,0,18,6,7
ZNF17,2,1,13,3,5
ZNF749,0,1,5,0,2
VN1R1,0,0,0,0,0
ZNF772,0,0,7,0,2
ZNF419,0,0,18,3,17
ZNF773,4,1,39,2,8
ZNF549,0,0,11,6,6
ZNF550,0,0,18,4,3
ZNF416,4,0,34,4,11
ZIK1,3,0,50,17,18
ZNF530,1,0,16,8,9
ZNF134,4,2,55,14,22
ZNF211,0,0,22,5,13
ZSCAN4,0,0,0,0,0
ZNF551,2,0,37,6,18
ZNF154,3,1,24,2,11
ZNF671,2,0,12,0,4
ZNF776,3,0,28,6,8
ZNF586,4,0,20,2,16
ZNF552,0,0,21,5,10
FKBP1AP1,0,1,13,3,2
ZNF587B,2,0,24,1,8
ZNF587,3,0,56,6,11
UBE2CP5,1,0,17,5,6
ZNF814,2,1,20,6,14
ZNF417,2,0,4,2,3
ZNF418,0,0,17,4,2
ZNF256,2,0,35,3,9
C19orf18,0,0,1,0,1
ZNF606,0,0,32,2,5
LOC100128398,2,0,12,3,2
ZSCAN1,0,0,24,0,1
ZNF135,0,0,14,2,4
ZSCAN18,3,2,136,18,14
ZNF329,1,0,19,3,3
ZNF274,2,0,79,7,13
ZNF544,8,2,135,24,30
ZNF8,3,1,30,7,10
ZNF8-ERVK3-1,0,0,5,1,2
ERVK3-1,1,0,3,3,0
LOC105372480,2,0,89,12,1
ZSCAN22,2,0,3,1,1
MIR6806,0,0,0,0,0
A1BG,5,8,23,4,31
A1BG-AS1,1,0,8,0,9
ZNF497,1,0,11,1,1
LOC105372483,0,0,0,0,0
ZNF837,3,1,45,1,15
MIR4754,0,0,0,0,0
RPS5,900,194,10794,1702,4753
MIR10394,0,0,0,0,0
RNF225,0,0,0,0,0
LINC02560,0,0,0,0,0
ZNF584,7,2,84,3,8
ZNF132,1,0,6,0,0
ZNF324B,2,0,8,0,3
ZNF324,3,0,33,7,12
ZNF446,1,1,81,6,10
SLC27A5,14,3,105,10,36
ZBTB45,3,0,32,0,12
TRIM28,104,21,1296,193,638
MIR6807,0,0,0,0,0
CHMP2A,44,13,688,107,227
UBE2M,101,23,1702,266,714
MZF1-AS1,0,1,5,1,2
MZF1,6,2,38,4,20
CENPBD1P1,13,5,347,48,46
KIR2DL5A,0,0,0,0,0
LILRA3,0,0,0,0,0
KIR2DL5B,0,0,0,0,0
LOC102724562,0,0,0,0,3
LOC440570,0,0,0,0,0
FAM110C,0,0,7,3,0
SH3YL1,3,4,100,8,35
ACP1,73,27,1961,242,551
ALKAL2,0,0,445,28,6
LINC01865,0,0,7,2,0
LINC01874,0,0,0,0,0
LINC01875,0,0,0,0,0
LOC105373352,0,0,0,0,0
TMEM18,17,4,348,62,87
LINC01115,0,0,0,0,0
LINC01939,0,0,0,0,0
SNTG2-AS1,0,0,1,0,0
SNTG2,1,0,3,0,1
TPO,0,0,0,0,0
PXDN,14,7,304,48,224
MYT1L,0,0,1,1,0
MYT1L-AS1,0,0,0,0,0
LINC01250,0,0,0,0,0
EIPR1,11,0,118,23,41
TRAPPC12,13,3,176,11,61
ADI1,77,7,774,77,525
RNASEH1,17,7,421,104,146
RNASEH1-AS1,13,3,242,34,33
RPS7,1054,337,17746,2951,7514
COLEC11,0,0,3,0,1
ALLC,0,0,0,0,0
DCDC2C,0,0,0,0,0
LINC01304,0,0,0,0,0
LOC105373394,0,0,0,0,0
LINC01249,0,0,0,0,0
LINC01248,0,0,0,0,0
SOX11,37,9,920,170,196
LINC01810,0,0,0,0,0
SILC1,0,0,0,0,0
MIR7158,0,0,0,0,0
LOC400940,0,0,6,0,0
LINC01247,0,0,0,0,0
LINC01246,0,0,0,0,0
MIR7515HG,0,0,0,0,0
MIR7515,0,0,0,0,0
LINC00487,0,0,0,0,0
NRIR,0,0,0,0,0
CMPK2,0,0,3,1,1
RSAD2,0,0,1,0,0
RNF144A-AS1,0,0,16,0,0
RNF144A,4,1,70,4,8
LOC101929452,0,0,0,0,0
LOC100506274,0,0,0,0,0
LOC101929551,0,0,0,0,0
LINC00298,0,0,0,0,0
LINC00299,0,0,0,0,0
LINC01814,0,0,2,0,1
ID2-AS1,0,0,4,0,0
ID2,25,3,547,32,153
KIDINS220,8,3,208,37,44
MBOAT2,8,4,128,16,20
ASAP2,8,3,147,26,4
ITGB1BP1,33,2,417,101,164
CPSF3,13,2,278,40,93
IAH1,8,1,74,70,170
ADAM17,7,2,152,20,44
YWHAQ,204,31,3358,567,1049
TAF1B,18,3,157,27,43
GRHL1,1,0,1,0,4
LOC101929882,0,0,1,0,0
KLF11,6,0,24,1,15
CYS1,0,0,5,1,2
RRM2,29,4,587,56,172
MIR4261,0,0,0,0,0
HPCAL1,1,2,73,22,15
ODC1,201,17,4948,852,1878
SNORA80B,0,0,0,0,0
ODC1-DT,0,0,0,0,1
NOL10,14,4,167,32,56
RN7SL832P,0,0,8,5,2
ATP6V1C2,0,0,1,0,0
PDIA6,210,35,3619,374,1479
LINC01954,0,0,0,0,0
KCNF1,1,0,5,8,12
FLJ33534,0,0,0,0,0
C2orf50,1,0,1,0,0
SLC66A3,0,0,43,2,49
ROCK2,15,2,391,66,98
LINC00570,0,0,0,0,0
E2F6,9,4,144,21,35
GREB1,2,0,100,4,19
MIR4429,0,0,0,0,0
NTSR2,0,0,1,0,0
LPIN1,4,2,106,8,62
MIR548S,0,0,0,0,0
MIR4262,0,0,0,0,0
MIR3681HG,0,0,2,0,0
MIR3681,0,0,0,0,0
TRIB2,3,0,167,23,34
MIR3125,0,0,0,0,0
LOC100506474,0,0,0,0,0
LINC00276,0,0,0,0,0
LRATD1,3,0,9,2,11
NBAS,7,1,149,21,37
DDX1,40,9,524,98,189
LINC01804,0,0,0,0,0
MYCNUT,0,0,0,0,0
MYCNOS,1,1,15,1,2
MYCN,24,2,308,5,49
GACAT3,1,0,0,0,0
FAM49A,0,0,9,3,2
RAD51AP2,0,0,0,0,1
VSNL1,12,2,33,4,32
SMC6,29,6,312,64,94
GEN1,1,0,50,9,21
MSGN1,0,0,0,0,6
KCNS3,3,0,9,1,23
NT5C1B-RDH14,0,0,0,0,0
RDH14,0,0,3,0,2
NT5C1B,0,0,0,0,0
LINC01376,0,0,4,0,0
MIR4757,0,0,0,0,0
OSR1,0,0,11,0,2
LINC00954,0,0,0,0,0
TTC32,1,2,57,4,17
WDR35,6,0,55,8,3
LOC101928222,0,0,0,1,0
MATN3,1,2,77,8,60
LAPTM4A,98,37,1322,225,1247
SDC1,6,2,119,16,26
PUM2,5,1,94,12,44
RHOB,43,1,1701,553,224
LOC107985856,0,0,0,0,0
HS1BP3-IT1,0,0,0,0,0
HS1BP3,1,1,79,5,18
GDF7,0,0,13,2,0
LDAH,7,0,140,26,27
APOB,0,0,1,0,2
TDRD15,0,0,0,0,0
LINC01822,0,0,0,0,0
LINC01884,0,0,0,0,0
KLHL29,1,0,8,0,8
ATAD2B,6,2,109,12,14
UBXN2A,13,3,231,32,62
MFSD2B,0,0,0,0,0
WDCP,5,0,58,8,13
FKBP1B,28,8,168,48,135
SF3B6,124,25,1872,358,800
FAM228B,0,4,19,4,5
TP53I3,46,2,620,101,176
PFN4,0,0,2,0,0
FAM228A,0,0,0,0,0
ITSN2,0,0,25,4,29
NCOA1,6,0,91,11,40
PTRHD1,34,8,408,55,224
CENPO,3,1,83,12,36
ADCY3,0,3,31,5,10
DNAJC27,2,0,15,3,1
DNAJC27-AS1,0,0,3,0,0
EFR3B,4,0,47,13,5
POMC,0,1,5,3,21
LINC01381,0,0,0,0,0
DNMT3A,11,2,156,18,62
MIR1301,0,0,0,0,0
DTNB,6,2,45,7,10
ASXL2,5,3,50,12,29
KIF3C,4,2,44,12,32
RAB10,29,9,515,95,204
GAREM2,4,0,37,2,11
HADHA,27,5,580,52,194
HADHB,15,2,240,44,113
ADGRF3,0,0,0,0,0
SELENOI,4,1,86,16,49
DRC1,0,0,2,0,0
OTOF,0,0,0,0,0
FAM166C,0,0,0,0,0
CIB4,0,0,0,0,0
KCNK3,0,0,6,1,1
SLC35F6,3,3,101,14,62
CENPA,12,3,391,25,91
DPYSL5,11,3,451,40,0
MAPRE3,1,1,73,1,5
MAPRE3-AS1,0,0,0,0,0
TMEM214,2,2,86,6,38
AGBL5-AS1,0,0,2,0,0
AGBL5,4,1,70,11,17
OST4,112,21,1261,174,559
EMILIN1,3,0,11,0,9
KHK,5,4,64,8,12
CGREF1,1,0,6,0,1
ABHD1,1,0,1,0,0
PREB,13,0,100,15,63
PRR30,0,0,0,0,0
TCF23,0,0,0,0,0
SLC5A6,17,2,233,27,83
ATRAID,35,21,904,114,334
CAD,10,2,94,15,51
SLC30A3,0,0,0,1,0
DNAJC5G,0,0,0,0,0
TRIM54,0,0,0,1,2
UCN,1,0,3,1,0
MPV17,23,10,522,56,82
GTF3C2,13,3,119,17,54
GTF3C2-AS1,0,0,0,0,0
EIF2B4,11,4,131,20,64
SNX17,25,5,438,63,178
ZNF513,0,0,26,3,14
PPM1G,138,17,1649,205,472
FTH1P3,1,0,16,0,1
NRBP1,45,10,461,81,373
KRTCAP3,4,1,11,1,64
IFT172,1,0,16,0,7
FNDC4,8,3,122,28,70
GCKR,0,0,0,0,0
C2orf16,0,0,0,0,0
ZNF512,6,1,134,12,10
CCDC121,1,0,14,3,8
GPN1,18,1,273,56,102
SUPT7L,3,4,145,14,41
SLC4A1AP,10,0,194,37,47
LINC01460,0,0,0,0,0
LOC105374378,0,0,0,0,0
MRPL33,36,9,530,111,237
RBKS,3,0,31,5,4
BABAM2,6,0,145,12,39
BABAM2-AS1,0,0,2,0,3
MIR4263,0,0,0,0,0
LOC100505736,0,0,0,0,0
LOC100505716,0,0,0,0,0
FLJ31356,0,0,0,0,0
FOSL2,1,0,23,15,11
PLB1,0,0,0,0,0
LOC100505774,0,0,0,0,0
PPP1CB,26,2,590,96,219
SPDYA,0,1,0,0,0
TRMT61B,5,4,128,23,45
WDR43,35,3,372,97,103
SNORD92,0,0,0,0,0
SNORD53,0,0,0,0,0
SNORD53B,0,0,0,0,0
TOGARAM2,0,0,1,0,0
PCARE,0,0,0,0,0
