H1.1,H6.1
FTH1P3,0,1
NRBP1,0,13
KRTCAP3,0,0
IFT172,0,0
FNDC4,1,0
GCKR,0,0
C2orf16,0,0
ZNF512,0,2
CCDC121,0,0
GPN1,0,7
SUPT7L,1,8
SLC4A1AP,0,3
LINC01460,0,0
LOC105374378,0,0
MRPL33,3,52
RBKS,1,0
BABAM2,1,5
BABAM2-AS1,0,0
MIR4263,0,0
LOC100505736,0,0
LOC100505716,0,0
FLJ31356,0,0
FOSL2,0,13
PLB1,0,0
LOC100505774,0,0
PPP1CB,0,58
SPDYA,0,0
TRMT61B,1,5
WDR43,0,4
SNORD92,0,0
SNORD53,0,0
SNORD53B,0,0
TOGARAM2,0,0
PCARE,0,0
CLIP4,0,2
ALK,0,0
LOC105374389,0,0
YPEL5,0,20
SNORA10B,0,0
LBH,1,6
LINC01936,0,0
LCLAT1,0,0
CAPN13,0,0
GALNT14,0,0
CAPN14,0,0
EHD3,0,1
XDH,0,0
SRD5A2,0,0
LINC01946,0,0
MEMO1,0,4
DPY30,1,12
SPAST,0,2
SLC30A6,0,2
NLRC4,0,0
YIPF4,1,12
BIRC6,0,2
MIR558,0,0
BIRC6-AS2,0,0
TTC27,0,0
MIR4765,0,0
LINC00486,0,0
LTBP1,0,9
MIR4430,0,0
RASGRP3,0,0
LOC105374454,0,1
FAM98A,0,10
LINC01317,0,0
MYADML,0,0
LINC01318,0,0
LINC01320,0,0
MIR548AD,0,0
CRIM1-DT,2,11
CRIM1,2,57
FEZ2,0,15
VIT,0,0
STRN,1,2
HEATR5B,0,2
GPATCH11,0,0
EIF2AK2,1,3
SULT6B1,0,0
CEBPZOS,1,8
CEBPZ,0,10
NDUFAF7,0,0
PRKD3,0,5
QPCT,0,15
CDC42EP3,4,74
LINC00211,0,0
RMDN2,0,0
RMDN2-AS1,0,0
CYP1B1,0,9
CYP1B1-AS1,0,0
ATL2,0,1
LINC01883,0,0
LINC02613,0,0
HNRNPLL,0,7
GALM,0,3
SRSF7,0,18
GEMIN6,0,7
DHX57,0,2
MORN2,1,6
ARHGEF33,0,1
LOC375196,0,0
SOS1,0,5
CDKL4,0,1
MAP4K3,0,8
MAP4K3-DT,0,3
TMEM178A,0,0
THUMPD2,1,10
SLC8A1-AS1,0,1
SLC8A1,0,0
LINC01913,0,0
LINC01914,0,0
C2orf91,0,0
PKDCC,0,2
EML4-AS1,0,0
EML4,1,3
COX7A2L,3,45
KCNG3,0,0
MTA3,1,5
OXER1,0,0
HAAO,0,0
LINC01819,0,0
LINC02580,0,0
ZFP36L2,0,9
LINC01126,0,0
THADA,0,4
PLEKHH2,0,0
C1GALT1C1L,0,0
DYNC2LI1,1,3
ABCG5,0,0
ABCG8,0,0
LRPPRC,0,4
PPM1B,0,3
SLC3A1,0,0
PREPL,1,5
CAMKMT,0,1
LINC01833,0,0
SIX3-AS1,0,0
SIX3,0,0
SIX2,0,0
LINC01121,0,0
SRBD1,0,0
PRKCE,0,2
EPAS1,1,22
LINC01820,0,0
LINC02583,0,0
TMEM247,0,0
ATP6V1E2,0,2
RHOQ,0,12
LOC100506142,0,0
PIGF,0,7
CRIPT,0,11
SOCS5,0,2
LINC01118,0,0
LINC01119,0,0
MCFD2,1,33
TTC7A,0,3
STPG4,0,0
CALM2,26,571
EPCAM-DT,0,0
BCYRN1,0,1
EPCAM,0,0
MIR559,0,0
MSH2,0,1
KCNK12,0,0
MSH2-OT1,0,0
MSH6,1,3
FBXO11,0,2
FOXN2,0,0
PPP1R21,0,2
STON1-GTF2A1L,0,0
STON1,0,3
GTF2A1L,0,0
LHCGR,0,0
FSHR,0,0
MIR548BA,0,0
NRXN1,0,0
MIR8485,0,0
LOC730100,0,0
LINC01867,0,0
MIR4431,0,0
ASB3,0,1
GPR75-ASB3,0,0
CHAC2,1,0
ERLEC1,0,14
MIR3682,0,0
GPR75,0,0
PSME4,1,5
ACYP2,1,5
TSPYL6,0,0
C2orf73,0,0
SPTBN1,2,20
RPL23AP32,0,0
EML6,0,0
RTN4,9,234
CLHC1,0,0
RPS27A,37,604
MTIF2,0,2
PRORSD1P,0,0
CCDC88A,0,2
CFAP36,0,10
PPP4R3B,1,4
PNPT1,0,3
EFEMP1,1,18
MIR217HG,0,0
MIR217,0,0
MIR216A,0,0
MIR216B,0,0
LINC01813,0,0
LOC100129434,0,0
CCDC85A,0,3
VRK2,0,0
FANCL,0,0
LINC01795,0,0
LINC01122,0,0
LINC01793,0,0
MIR4432HG,0,0
MIR4432,0,0
BCL11A,0,0
PAPOLG,0,1
LINC01185,0,0
REL,0,2
PUS10,0,1
PEX13,0,4
KIAA1841,0,1
LOC339803,0,9
C2orf74,0,1
AHSA2P,0,2
USP34,0,5
SNORA70B,0,0
XPO1,0,7
FAM161A,0,1
CCT4,0,14
COMMD1,2,14
B3GNT2,0,6
MIR5192,0,0
TMEM17,0,1
EHBP1,2,2
LOC100132215,0,0
OTX1,0,0
DBIL5P2,0,0
WDPCP,0,1
MDH1,4,53
UGP2,2,43
VPS54,0,2
PELI1,0,0
LINC00309,0,0
LOC100507006,0,0
MIR4433B,0,0
MIR4433A,0,0
LGALSL,2,1
LINC01805,0,0
LOC101927402,0,0
AFTPH,0,3
MIR4434,0,0
LINC02579,0,0
SERTAD2,0,3
LINC01800,0,0
LINC02245,0,0
SLC1A4,1,2
CEP68,0,0
RAB1A,3,34
ACTR2,1,51
SPRED2,0,2
MIR4778,0,0
LINC01873,0,0
MEIS1-AS3,0,0
MEIS1,0,2
MEIS1-AS2,0,0
LINC01798,0,0
LINC01797,0,0
LINC01799,0,0
LINC01628,0,0
LINC01828,0,0
LINC01829,0,0
LOC101927661,0,0
ETAA1,0,1
LINC01812,0,0
C1D,1,12
WDR92,0,0
PNO1,1,4
PPP3R1,1,2
CNRIP1,0,1
PLEK,0,0
FBXO48,0,0
APLF,0,0
PROKR1,0,0
ARHGAP25,0,0
BMP10,0,0
GKN2,0,0
GKN1,0,0
ANTXR1,0,28
MIR3126,0,0
GFPT1,1,16
NFU1,2,10
AAK1,2,11
SNORA36C,0,0
ANXA4,0,18
LOC107985770,0,0
GMCL1,0,6
SNRNP27,2,10
MXD1,0,2
ASPRV1,0,0
PCBP1-AS1,0,0
PCBP1,2,30
LINC01816,0,0
C2orf42,0,0
TIA1,1,4
MIR1285-2,0,0
PCYOX1,0,8
SNRPG,7,61
FAM136A,0,2
TGFA,0,0
TGFA-IT1,0,0
ADD2,0,0
FIGLA,0,0
CLEC4F,0,0
CD207,0,0
LINC01143,0,0
VAX2,0,1
ATP6V1B1,0,0
ATP6V1B1-AS1,0,0
ANKRD53,0,0
TEX261,0,6
OR7E91P,0,0
NAGK,1,15
MCEE,0,6
MPHOSPH10,0,1
PAIP2B,0,0
ZNF638,0,2
DYSF,0,4
CYP26B1,0,2
EXOC6B,0,0
SPR,0,4
EMX1,0,0
SFXN5,0,0
RAB11FIP5,0,2
NOTO,0,0
SMYD5,0,1
PRADC1,0,5
CCT7,3,16
FBXO41,0,0
EGR4,0,0
ALMS1,0,1
ALMS1-IT1,0,0
NAT8,0,0
ALMS1P1,0,0
NAT8B,0,0
TPRKB,0,6
DUSP11,1,10
C2orf78,0,0
STAMBP,0,13
ACTG2,0,124
DGUOK,1,42
DGUOK-AS1,0,0
TET3,1,1
BOLA3,2,29
BOLA3-AS1,0,1
MOB1A,1,15
MTHFD2,0,14
SLC4A5,0,0
DCTN1,0,6
DCTN1-AS1,0,0
C2orf81,0,0
WDR54,0,7
RTKN,0,1
INO80B-WBP1,0,0
INO80B,0,1
WBP1,0,0
MOGS,0,4
MRPL53,1,21
CCDC142,0,0
TTC31,0,0
LBX2,0,0
LBX2-AS1,0,0
PCGF1,0,0
TLX2,0,0
DQX1,0,0
AUP1,1,8
HTRA2,0,7
LOXL3,0,0
DOK1,0,1
M1AP,0,0
SEMA4F,0,3
HK2,0,2
LINC01291,0,0
POLE4,0,22
TACR1,0,0
MIR5000,0,0
EVA1A,0,3
LOC101927884,0,0
MRPL19,0,13
GCFC2,0,2
LRRTM4,0,0
LRRTM4-AS1,0,0
LOC101927967,0,0
LINC01851,0,0
SNAR-H,0,0
LOC101927948,0,0
LOC105374820,0,0
REG3G,0,0
REG1B,0,0
REG1A,0,0
REG1CP,0,0
REG3A,0,0
CTNNA2-AS1,0,0
CTNNA2,0,0
MIR4264,0,0
MIR8080,0,0
LRRTM1,0,0
LINC01815,0,0
DHFRP3,0,0
LINC01809,0,0
FUNDC2P2,0,0
SUCLG1,0,13
DNAH6,0,0
TRABD2A,0,0
TMSB10,36,1139
KCMF1,2,7
LINC01964,0,0
TCF7L1,2,5
TCF7L1-IT1,0,0
LOC102724579,0,0
TGOLN2,0,18
RETSAT,0,1
ELMOD3,0,0
CAPG,0,6
SH2D6,0,0
PARTICL,0,0
MAT2A,0,11
GGCX,0,4
VAMP8,0,0
VAMP5,0,8
RNF181,0,33
TMEM150A,0,8
USP39,0,4
C2orf68,0,0
SFTPB,0,0
GNLY,0,0
ATOH8,0,0
MIR6071,0,0
LOC284950,0,0
ST3GAL5,1,0
ST3GAL5-AS1,0,0
POLR1A,0,1
PTCD3,1,10
SNORD94,0,0
IMMT,1,10
MIR4779,0,0
MRPL35,1,4
REEP1,0,0
KDM3A,0,0
CHMP3,0,1
RNF103-CHMP3,0,0
RNF103,0,2
RMND5A,0,4
CD8A,0,0
CD8B,0,0
ANAPC1P1,0,0
RGPD2,0,0
RGPD1,0,0
PLGLB1,0,0
PLGLB2,0,0
LOC285074,0,0
MIR4771-1,0,0
MIR4771-2,0,0
CYTOR,0,39
MIR4435-1,0,0
MIR4435-2,0,0
LOC730268,0,0
KRCC1,0,10
SMYD1,0,0
MIR4780,0,0
FABP1,0,0
THNSL2,0,1
FOXI3,0,0
TEX37,0,0
LOC101928371,0,0
EIF2AK3,0,3
EIF2AK3-DT,0,0
RPIA,0,0
ANKRD36BP2,0,0
MIR4436A,0,0
LOC107985911,1,13
LOC101927050,0,0
LSP1P4,0,0
GGT8P,0,0
ACTR3BP2,0,0
BMS1P14,0,1
LOC100133920,0,0
FAM95A,0,0
ANKRD20A8P,0,0
LOC442028,0,0
TEKT4,0,0
MAL,0,0
MRPS5,0,4
ZNF514,0,0
ZNF2,0,2
PROM2,0,0
KCNIP3,0,0
FAHD2A,0,2
TRIM43B,0,0
TRIM43,0,0
LINC00342,0,1
ANKRD36C,0,3
FAHD2CP,0,0
GPAT2,0,0
ADRA2B,0,0
ASTL,0,0
DUSP2,0,2
STARD7,0,4
STARD7-AS1,0,0
SNORA112,0,0
TMEM127,0,5
CIAO1,0,11
SNRNP200,0,4
ITPRIPL1,0,0
NCAPH,0,0
NEURL3,0,0
LOC105373496,0,0
ARID5A,0,2
KANSL3,0,3
FER1L5,0,0
LMAN2L,0,2
CNNM4,0,0
MIR3127,0,0
CNNM3-DT,0,0
CNNM3,0,0
ANKRD23,0,0
ANKRD39,1,1
SEMA4C,0,0
FAM178B,0,0
LOC101927053,0,0
FAHD2B,0,1
ANKRD36,0,0
LOC100506076,0,0
LOC100506123,0,0
ANKRD36B,0,0
COX5B,5,78
ACTR1B,0,4
C2orf92,0,0
ZAP70,0,0
TMEM131,0,3
VWA3B,0,0
CNGA3,0,0
INPP4A,0,0
COA5,0,10
UNC50,3,14
MGAT4A,0,0
LINC02611,0,0
KIAA1211L,0,1
TSGA10,0,0
C2orf15,0,0
LIPT1,0,0
MITD1,0,4
MRPL30,1,2
LYG2,0,0
LYG1,0,0
TXNDC9,1,19
EIF5B,0,23
REV1,0,1
AFF3,1,1
LINC01104,0,0
LONRF2,0,0
CHST10,0,1
NMS,0,0
PDCL3,2,6
LINC01849,0,0
NPAS2,0,3
NPAS2-AS1,0,0
RPL31,3,40
TBC1D8,0,0
TBC1D8-AS1,0,0
CNOT11,0,3
SNORD89,0,0
RNF149,0,8
MIR5696,0,0
CREG2,0,0
RFX8,0,0
MAP4K4,0,8
LINC01127,0,0
IL1R2,0,1
IL1R1,0,2
IL1RL2,0,0
IL1RL1,0,0
IL18R1,0,1
IL18RAP,0,0
MIR4772,0,0
SLC9A4,0,0
SLC9A2,0,0
MFSD9,0,0
TMEM182,0,0
LINC01796,0,0
LINC01935,0,0
LOC100287010,0,0
LINC01831,0,0
LINC01102,0,0
LINC01103,0,0
LINC01114,0,0
PANTR1,0,1
POU3F3,0,0
LINC01159,0,0
MRPS9-AS2,0,0
MRPS9,0,3
MRPS9-AS1,0,0
LINC01918,0,0
GPR45,0,0
TGFBRAP1,0,5
C2orf49,1,4
FHL2,9,86
LOC285000,0,0
NCK2,0,0
ECRG4,0,0
UXS1,0,5
LOC402096,0,0
PLGLA,0,0
RGPD3,0,0
CD8B2,0,0
ST6GAL2,0,2
MIR548AU,0,0
LINC01886,0,0
GACAT1,0,0
RGPD4-AS1,0,0
RGPD4,0,0
SLC5A7,0,0
LINC01593,0,0
LINC01594,0,0
SULT1C3,0,0
SULT1C2,0,0
SULT1C2P1,0,0
SULT1C4,0,0
GCC2,0,8
GCC2-AS1,0,0
LIMS1,2,19
LIMS1-AS1,0,0
RANBP2,0,7
CCDC138,0,0
EDAR,0,0
SH3RF3-AS1,0,2
SH3RF3,0,1
MIR4265,0,0
MIR4266,0,0
SEPTIN10,0,2
SOWAHC,0,1
RGPD5,0,0
RGPD6,0,0
RGPD8,0,0
LIMS3-LOC440895,0,0
LIMS4,0,0
LIMS3,0,0
LOC100288570,0,0
LOC440895,0,0
LINC01123,0,0
MIR4267,0,0
MALL,0,0
MIR4436B1,0,0
MIR4436B2,0,0
NPHP1,0,0
MTLN,2,21
LOC100507334,0,0
LINC01106,0,0
LOC105373553,0,0
BUB1,0,0
SNORD132,0,0
ACOXL,0,0
ACOXL-AS1,0,0
BCL2L11,0,0
MIR4435-2HG,3,12
ANAPC1,0,3
MERTK,0,0
TMEM87B,0,5
FBLN7,0,0
ZC3H8,0,3
ZC3H6,0,1
TTL,0,5
LOC105373562,0,0
POLR1B,0,0
CHCHD5,0,13
FLJ42351,0,0
SLC20A1,0,24
NT5DC4,0,0
CKAP2L,0,0
IL1A,0,0
IL1B,0,0
IL37,0,0
IL36G,0,0
IL36A,0,0
IL36B,0,0
IL36RN,0,0
IL1F10,0,0
IL1RN,0,0
PSD4,0,0
PAX8,0,0
PAX8-AS1,0,0
CBWD2,0,3
FOXD4L1,0,0
PGM5P3-AS1,0,0
PGM5P4-AS1,0,0
PGM5P4,0,0
FAM138B,0,0
MIR1302-3,0,0
WASH2P,0,0
DDX11L2,0,0
RPL23AP7,2,2
RABL2A,0,2
SLC35F5,0,10
MIR4782,0,0
ACTR3-AS1,0,2
ACTR3,3,38
LINC01191,0,0
LOC100499194,0,0
DPP10,0,0
DPP10-AS3,0,0
DPP10-AS1,0,0
DDX18,0,7
LOC107985939,0,0
CCDC93,0,1
INSIG2,0,2
THORLNC,0,0
LOC101927709,0,0
EN1,0,0
MARCO,0,0
C1QL2,0,0
STEAP3,0,0
STEAP3-AS1,0,0
C2orf76,0,5
DBI,3,70
TMEM37,0,0
SCTR,0,0
LOC107105282,0,0
CFAP221,0,0
TMEM177,0,1
PTPN4,0,0
EPB41L5,0,1
TMEM185B,0,6
RALB,0,5
INHBB,0,0
LINC01101,0,0
GLI2,0,0
TFCP2L1,0,0
CLASP1,0,1
RNU4ATAC,0,0
NIFK-AS1,0,1
NIFK,0,6
TSN,0,8
LINC01826,0,0
LOC107985820,0,0
CNTNAP5,0,0
LINC01941,0,0
GYPC,1,12
TEX51,0,0
BIN1,0,1
CYP27C1,0,1
ERCC3,0,4
MAP3K2,0,6
PROC,0,0
MIR4783,0,0
IWS1,0,0
MYO7B,0,0
LOC105373609,0,0
LIMS2,1,5
GPR17,0,0
WDR33,0,2
SFT2D3,0,2
POLR2D,0,0
AMMECR1L,0,3
SAP130,0,0
UGGT1,0,2
HS6ST1,0,1
LOC101927881,0,0
LINC01854,0,0
LINC02572,0,0
PLAC9P1,0,0
LINC01856,0,0
RAB6C-AS1,0,0
RAB6C,0,0
FAR2P1,0,1
POTEF,0,0
MED15P9,0,0
CCDC74B,0,2
SMPD4,0,2
MZT2B,6,69
TUBA3E,0,0
CCDC115,0,2
IMP4,1,11
PTPN18,0,1
FAR2P2,0,0
CYP4F62P,0,0
POTEI,0,0
CFC1B,0,0
PRSS40A,0,0
PRSS40B,0,0
CFC1,0,0
POTEJ,0,0
CYP4F30P,0,0
GPR148,0,0
AMER3,0,0
ARHGEF4,0,1
FAM168B,0,7
PLEKHB2,0,12
POTEE,0,0
LOC440910,0,0
RAB6D,0,0
LINC01120,0,0
NOC2LP2,0,0
TUBA3D,0,0
MZT2A,4,24
MIR4784,0,0
LOC150776,0,0
CCDC74A,0,0
POTEKP,0,0
LINC01087,0,0
C2orf27A,0,2
C2orf27B,0,0
LINC01945,0,0
ANKRD30BL,0,0
MIR663B,0,0
ZNF806,0,1
FAM201B,0,0
GPR39,0,0
MIR9986,0,0
LYPD1,0,0
NCKAP5,0,1
NCKAP5-AS1,0,0
NCKAP5-AS2,0,0
MGAT5,0,1
MIR3679,0,0
TMEM163,0,0
ACMSD,0,0
MIR5590,0,0
CCNT2-AS1,0,0
CCNT2,0,4
MAP3K19,0,0
RAB3GAP1,0,6
SNORA40B,0,0
ZRANB3,0,0
R3HDM1,0,0
MIR128-1,0,0
LOC107985946,0,0
UBXN4,1,14
LCT,0,0
LCT-AS1,0,0
MCM6,1,0
DARS1,0,14
DARS-AS1,0,0
CXCR4,0,0
THSD7B,0,0
LOC101928273,0,0
HNMT,0,0
LINC01832,0,0
SPOPL,0,1
NXPH2,0,0
YY1P2,0,0
LRP1B,0,0
MIR7157,0,0
KYNU,0,0
ARHGAP15,0,0
LOC101928386,0,0
GTDC1,0,1
ZEB2,0,4
ZEB2-AS1,0,0
LINC01412,0,0
LOC105373656,0,0
TEX41,0,0
PABPC1P2,0,0
ACVR2A,0,11
ORC4,0,8
MBD5,0,0
EPC2,0,2
KIF5C,0,0
LYPD6B,0,4
LYPD6,0,4
MIR9899,0,0
MMADHC,0,23
MMADHC-DT,0,0
LINC01931,0,0
LINC01817,0,0
RND3,0,43
LINC01920,0,0
LINC02612,0,0
RBM43,0,3
NMI,0,0
LOC101929319,0,0
TNFAIP6,0,0
MIR4773-1,0,0
MIR4773-2,0,0
RIF1,0,4
NEB,0,0
ARL5A,0,13
CACNB4,0,0
STAM2,0,4
FMNL2,0,3
PRPF40A,0,10
ARL6IP6,0,3
RPRM,0,0
GALNT13,0,1
LOC100144595,0,0
KCNJ3,0,0
LINC01876,0,0
NR4A2,0,0
FLJ46875,0,0
GPD2,0,1
GALNT5,0,3
ERMN,0,0
FAM133DP,0,1
CYTIP,0,0
ACVR1C,0,0
ACVR1,0,3
UPP2,0,0
CCDC148-AS1,0,0
CCDC148,0,0
PKP4,0,2
PKP4-AS1,0,0
DAPL1,0,0
TANC1,0,2
MIR6888,0,0
WDSUB1,0,1
BAZ2B,0,2
LOC643072,0,0
MARCHF7,0,10
CD302,0,0
LY75-CD302,0,0
LY75,0,0
PLA2R1,0,5
ITGB6,0,0
LINC02478,0,0
RBMS1,1,8
MIR4785,0,0
TANK,0,10
LOC101929512,0,0
LINC01806,0,0
PSMD14,3,10
TBR1,0,0
AHCTF1P1,0,0
SLC4A10,0,0
DPP4,0,3
DPP4-DT,0,0
LOC101929532,0,0
GCG,0,0
FAP,0,20
IFIH1,0,0
GCA,0,4
KCNH7,0,0
KCNH7-AS1,0,0
FIGN,0,2
GRB14,0,1
COBLL1,0,8
SNORA70F,0,0
LOC101929633,0,0
SLC38A11,0,0
SCN3A,0,0
SCN2A,0,0
CSRNP3,0,1
GALNT3,0,0
LOC100506124,0,0
TTC21B,0,1
TTC21B-AS1,0,0
LOC102724058,0,0
SCN1A,0,0
SCN1A-AS1,0,0
SCN9A,0,5
SCN7A,0,0
XIRP2,0,0
XIRP2-AS1,0,0
B3GALT1-AS1,0,0
B3GALT1,0,0
STK39,0,4
CERS6,0,8
MIR4774,0,0
CERS6-AS1,0,0
NOSTRIN,0,0
SPC25,0,0
G6PC2,0,0
ABCB11,0,0
DHRS9,0,1
LRP2,0,1
BBS5,0,0
KLHL41,0,0
FASTKD1,0,2
PPIG,1,12
CCDC173,0,0
PHOSPHO2,0,0
PHOSPHO2-KLHL23,0,0
KLHL23,0,0
SSB,0,29
METTL5,2,13
SNORD3K,0,0
UBR3,0,2
MYO3B,0,0
MYO3B-AS1,0,0
LOC101926913,0,0
LINC01124,0,0
SP5,0,0
ERICH2,0,2
GAD1,0,0
GORASP2,0,7
TLK1,0,7
METTL8,0,1
DCAF17,0,0
CYBRD1,2,15
DYNC1I2,2,17
SLC25A12,1,1
HAT1,0,7
METAP1D,0,0
DLX1,0,0
DLX2,0,0
DLX2-DT,0,0
ITGA6,0,1
ITGA6-AS1,0,0
PDK1,0,2
RAPGEF4-AS1,0,0
RAPGEF4,0,0
MAP3K20,0,8
MAP3K20-AS1,0,0
CDCA7,0,0
SP3,0,6
LINC01960,0,0
OLA1,1,9
LINC01305,0,0
SP9,0,0
CIR1,0,3
SCRN3,0,1
GPR155,0,2
WIPF1,0,1
CHRNA1,0,0
CHN1,0,3
ATF2,0,3
MIR933,0,0
ATP5MC3,9,115
LNPK,0,4
EVX2,0,0
HOXD13,0,0
HOXD12,0,0
HOXD11,0,6
HOXD10,0,1
HOXD9,0,0
HOXD8,0,0
HOXD-AS2,0,4
LOC401021,0,0
MIR10B,0,0
HOXD4,0,0
HOXD3,0,0
HAGLR,0,0
HAGLROS,0,0
HOXD1,0,0
MIR7704,0,0
MTX2,0,9
MIR1246,0,0
LINC01116,0,3
LINC01117,0,0
LOC105373759,0,0
HNRNPA3,1,17
MIR4444-1,0,0
MIR4444-2,0,0
NFE2L2,0,17
MIR3128,0,0
LOC100130691,0,0
MIR6512,0,0
AGPS,0,6
TTC30B,0,0
TTC30A,0,1
PDE11A,0,0
PDE11A-AS1,0,0
RBM45,1,1
OSBPL6,0,0
CHROMR,0,1
PRKRA,0,8
PJVK,0,0
FKBP7,0,10
PLEKHA3,0,9
TTN-AS1,0,1
TTN,0,0
LOC101927055,0,0
CCDC141,0,0
SESTD1,0,5
ZNF385B,0,0
MIR1258,0,0
CWC22,0,4
SCHLAP1,0,0
UBE2E3,2,30
LINC01934,0,0
MIR4437,0,0
ITGA4,0,13
CERKL,0,1
NEUROD1,0,0
ITPRID2,2,10
PPP1R1C,0,0
PDE1A,0,0
DNAJC10,0,14
FRZB,1,1
NCKAP1,1,24
DUSP19,0,0
NUP35,1,1
MIR548AE1,0,0
ZNF804A,0,0
LOC105373782,0,0
FSIP2-AS2,0,0
FSIP2,0,0
FSIP2-AS1,0,0
LINC01473,0,0
ZC3H15,0,15
ITGAV,0,21
FAM171B,0,3
ZSWIM2,0,0
CALCRL,0,1
TFPI,0,3
LINC01090,0,0
GULP1,0,2
MIR561,0,0
DIRC1,0,0
COL3A1,0,244
MIR1245A,0,0
MIR1245B,0,0
MIR3606,0,0
COL5A2,1,76
MIR3129,0,0
WDR75,0,3
SLC40A1,0,4
ASDURF,0,0
ASNSD1,0,2
ANKAR,0,0
OSGEPL1,0,0
OSGEPL1-AS1,0,0
ORMDL1,1,23
PMS1,0,2
MSTN,0,0
C2orf88,0,2
HIBCH,1,5
INPP1,0,2
MFSD6,0,0
NEMP2,0,0
NAB1,0,4
GLS,0,61
STAT1,0,14
LOC105373805,0,0
STAT4,0,0
MYO1B,0,13
NABP1,0,4
LOC105747689,0,0
LOC729254,0,0
CAVIN2,0,0
TMEFF2,0,0
PCGEM1,0,0
LINC01821,0,0
LINC01790,0,0
SLC39A10,0,2
DNAH7,0,0
STK17B,0,1
HECW2,0,1
HECW2-AS1,0,0
CCDC150,0,0
LOC100130452,0,0
GTF3C3,0,1
C2orf66,0,0
PGAP1,0,0
ANKRD44,1,4
ANKRD44-AS1,0,0
ANKRD44-IT1,0,0
SF3B1,0,16
COQ10B,0,10
HSPD1,2,22
SNORA105A,0,0
SNORA105B,0,0
HSPE1,3,67
HSPE1-MOB4,0,0
MOB4,0,0
RFTN2,0,0
MARS2,0,0
BOLL,0,0
PLCL1,0,0
LINC01923,0,0
SATB2,0,0
SATB2-AS1,0,0
LINC01877,0,0
FTCDNL1,0,0
C2orf69,0,0
TYW5,0,2
MAIP1,0,3
SPATS2L,1,14
KCTD18,0,1
SGO2,0,1
AOX1,0,0
AOX3P-AOX2P,0,0
LINC01792,0,0
BZW1-AS1,0,0
BZW1,0,36
CLK1,0,5
PPIL3,0,5
NIF3L1,0,2
ORC2,0,2
FAM126B,0,2
NDUFB3,2,40
CFLAR,0,3
CFLAR-AS1,0,0
CASP10,0,1
CASP8,0,0
FLACC1,0,0
TRAK2,0,1
STRADB,0,2
C2CD6,0,0
TMEM237,2,5
MPP4,0,0
ALS2,0,4
CDK15,0,0
FZD7,0,4
KIAA2012,0,0
KIAA2012-AS1,0,0
SUMO1,2,49
NOP58,0,6
SNORD70,0,0
SNORD70B,0,0
SNORD11B,0,0
SNORD11,0,0
BMPR2,0,9
FAM117B,0,0
ICA1L,0,0
WDR12,0,4
CARF,0,2
NBEAL1,0,2
CYP20A1,0,6
ABI2,1,5
RAPH1,0,8
CD28,0,0
CTLA4,0,0
ICOS,0,0
PARD3B,0,1
NRP2,0,60
INO80D,0,2
NDUFS1,0,1
GCSHP3,0,0
EEF1B2,8,185
SNORD51,0,0
SNORA41,0,0
GPR1,0,3
GPR1-AS,0,0
ZDBF2,0,0
ADAM23,0,0
FAM237A,0,0
DYTN,0,0
MDH1B,0,0
FASTKD2,0,5
MIR3130-2,0,0
MIR3130-1,0,0
CPO,0,0
KLF7,0,9
MIR2355,0,0
MIR7845,0,0
MYOSLID-AS1,0,0
MYOSLID,0,0
LINC01802,0,0
MIR1302-4,0,0
CREB1,0,2
METTL21A,0,4
LINC01857,0,0
CCNYL1,0,1
MIR4775,0,0
FZD5,0,0
PLEKHM3,0,2
LOC100507443,0,0
CRYGD,0,0
CRYGC,0,0
CRYGB,0,0
CRYGA,0,0
C2orf80,0,0
IDH1,0,6
IDH1-AS1,0,0
PIKFYVE,0,5
PTH2R,0,0
LOC101927960,0,0
MAP2,0,0
UNC80,0,0
RPE,0,3
KANSL1L,0,0
KANSL1L-AS1,0,0
ACADL,0,0
MYL1,0,0
LANCL1-AS1,0,0
LANCL1,0,2
CPS1,0,0
CPS1-IT1,0,0
ERBB4,0,0
MIR548F2,0,0
LINC01878,0,0
MIR4776-1,0,0
MIR4776-2,0,0
IKZF2,0,0
LINC01953,0,0
SPAG16-DT,0,0
SPAG16,0,5
MIR4438,0,0
VWC2L,0,0
VWC2L-IT1,0,0
BARD1,0,0
SNHG31,0,0
SNORA70I,0,0
ABCA12,0,0
ATIC,1,9
FN1,20,1024
LOC102724849,0,1
LINC00607,0,0
LINC01614,0,2
MREG,0,0
PECR,0,1
TMEM169,0,1
XRCC5,1,15
LINC01963,0,1
MARCHF4,0,2
SMARCAL1,0,5
RPL37A,19,130
LINC01280,0,0
IGFBP2,77,473
IGFBP5,0,6
TNP1,0,0
LOC105373876,0,0
LINC01921,0,0
DIRC3-AS1,0,0
DIRC3,0,0
TNS1,0,8
SNORA115,0,0
MIR6809,0,0
LOC105373878,0,0
RUFY4,0,0
CXCR2P1,0,0
CXCR2,0,0
CXCR1,0,0
ARPC2,15,99
GPBAR1,0,0
AAMP,0,3
PNKD,0,30
TMBIM1,0,6
MIR6513,0,0
CATIP-AS2,0,0
MIR6810,0,0
CATIP,0,0
CATIP-AS1,0,0
SLC11A1,0,0
CTDSP1,0,2
MIR26B,0,0
VIL1,0,0
USP37,0,1
CNOT9,0,4
PLCD4,0,0
ZNF142,0,0
BCS1L,1,2
RNF25,0,4
STK36,0,1
TTLL4,0,0
