H1.1,H2.1,H3.1,H4.1,H5.1,H6.1
LOC284191,0,0,0,0,0,0
LINC02090,0,0,0,0,0,0
MPRIP,393,88,45,35,472,178
PLD6,6,2,6,1,4,2
FLCN,41,22,35,6,81,50
COPS3,245,118,116,18,492,168
NT5M,7,7,6,1,11,9
MED9,22,15,10,2,44,17
RASD1,4,0,4,0,7,7
PEMT,51,30,26,4,228,90
SMCR2,0,0,0,0,4,2
RAI1,43,10,15,4,120,44
RAI1-AS1,0,0,0,0,0,0
SMCR5,4,3,2,0,16,10
SREBF1,25,21,11,3,213,98
MIR6777,0,0,0,0,0,0
MIR33B,0,0,0,0,0,0
TOM1L2,59,19,11,6,148,28
DRC3,1,1,0,0,3,1
ATPAF2,44,41,23,3,92,54
GID4,33,17,12,4,84,24
DRG2,75,52,36,8,181,81
LOC105371566,0,0,0,0,0,0
MYO15A,0,0,0,0,0,0
ALKBH5,220,73,65,28,408,161
LLGL1,7,13,1,2,82,38
FLII,189,93,55,29,415,162
MIEF2,28,13,22,1,38,20
TOP3A,23,5,10,3,51,13
SMCR8,43,12,23,6,91,27
SHMT1,1,5,4,2,13,10
MIR6778,0,0,0,0,0,0
EVPLL,0,0,0,0,1,0
LINC02076,1,0,0,0,10,1
KRT17P5,0,0,0,0,0,0
KRT17P2,0,0,0,0,0,0
KRT16P1,0,0,0,0,0,0
LGALS9C,0,0,0,0,0,0
USP32P2,0,0,0,0,0,0
FAM106A,0,0,0,0,0,0
CCDC144B,0,0,0,0,0,0
TBC1D28,0,0,0,0,0,0
ZNF286B,4,2,1,1,9,8
FOXO3B,6,5,2,2,13,3
TRIM16L,16,19,30,12,150,32
FBXW10,0,0,0,0,0,0
TVP23B,73,31,60,11,242,66
LOC101929141,0,0,0,0,0,0
PRPSAP2,95,38,53,4,221,56
SLC5A10,1,0,0,0,1,0
FAM83G,25,14,14,6,54,16
GRAP,0,0,0,0,1,0
SNORD3B-1,0,0,0,0,0,0
SNORD3B-2,0,0,0,0,0,0
LOC102724624,0,0,0,0,0,0
LOC388436,0,0,0,0,0,0
LOC79999,0,0,0,0,0,0
SNORD3D,0,0,0,0,0,0
GRAPL,0,0,0,0,0,0
SNORD3A,1,1,0,0,2,0
SNORD3C,0,0,0,0,0,0
EPN2,128,26,43,6,167,82
EPN2-IT1,0,0,0,0,0,0
EPN2-AS1,0,0,1,0,0,0
B9D1,20,23,10,4,110,76
MIR1180,0,0,0,0,0,0
MAPK7,60,32,22,6,137,73
MFAP4,553,1087,14,16,1012,2578
RNF112,0,0,0,0,2,1
SLC47A1,1,1,2,1,2,9
ALDH3A2,65,32,49,4,152,43
SLC47A2,0,0,0,0,0,0
ALDH3A1,0,0,0,0,0,0
ULK2,24,11,10,4,54,26
AKAP10,61,22,18,1,117,39
SPECC1,80,32,40,14,427,102
CCDC144CP,1,1,1,0,7,2
USP32P3,0,0,1,0,9,1
FAM106B,0,0,0,0,0,0
NOS2P3,0,0,0,0,2,0
LGALS9B,0,0,0,0,0,0
KRT16P3,0,0,0,0,0,0
CDRT15L2,0,0,0,0,0,0
LINC02088,0,0,0,0,0,0
LOC100287072,0,0,0,0,0,0
CCDC144NL,0,0,0,0,0,0
CCDC144NL-AS1,47,20,4,0,58,41
LOC339260,0,0,0,0,1,0
USP22,290,95,71,24,622,222
LINC01563,0,0,0,0,0,0
DHRS7B,119,24,39,5,185,51
TMEM11,218,94,128,28,423,154
NATD1,21,8,4,3,42,13
MAP2K3,142,40,60,24,252,72
KCNJ12,1,3,3,0,5,0
LINC02693,40,29,16,3,78,34
KCNJ18,0,0,0,0,0,0
UBBP4,5,1,2,2,6,2
FAM27E5,0,0,0,0,0,0
FLJ36000,0,0,0,0,0,0
MTRNR2L1,0,2,1,0,1,1
LOC105371703,0,0,0,0,0,0
MIR4522,0,0,0,0,0,0
WSB1,123,196,83,18,1416,338
TBC1D3P5,0,0,0,0,0,0
KSR1,23,6,13,5,373,23
LGALS9,1,8,0,1,34,2
NOS2,0,0,0,0,0,0
LYRM9,48,26,11,7,92,57
LINC01992,0,0,0,0,0,0
NLK,27,6,7,3,50,18
PYY2,2,1,0,0,4,1
PPY2P,0,0,0,0,0,0
KRT18P55,1,1,0,0,1,0
TMEM97,12,27,16,1,45,17
IFT20,437,209,150,40,1015,394
TNFAIP1,150,54,43,13,381,112
POLDIP2,260,110,69,21,529,141
TMEM199,77,39,61,12,263,83
MIR4723,0,0,0,0,0,0
SEBOX,0,0,0,0,0,0
VTN,0,0,0,0,1277,5
SARM1,12,6,7,2,254,13
SLC46A1,10,1,4,3,46,8
SLC13A2,0,0,0,0,0,0
FOXN1,0,0,0,0,0,0
UNC119,76,35,37,5,196,119
PIGS,94,34,19,4,263,76
ALDOC,3,5,0,1,15,13
SPAG5,0,8,0,1,5,1
SPAG5-AS1,1,0,1,0,1,0
RSKR,4,2,5,0,14,5
KIAA0100,139,41,40,10,244,105
SDF2,480,158,180,47,1044,439
SUPT6H,213,62,54,10,380,139
PROCA1,6,2,1,1,14,4
RAB34,852,438,354,77,1565,493
RPL23A,3107,2888,1116,318,7972,3979
SNORD42B,0,0,0,0,0,0
SNORD4A,0,0,0,0,0,0
SNORD42A,0,0,0,0,0,0
SNORD4B,0,0,0,0,0,0
TLCD1,95,23,37,11,212,63
NEK8,5,7,2,1,16,4
TRAF4,287,100,142,17,675,180
FAM222B,45,20,23,8,114,49
ERAL1,98,35,54,11,215,92
MIR451A,0,0,0,0,0,0
MIR451B,0,0,0,0,0,0
MIR144,0,0,0,0,0,0
MIR4732,0,0,0,0,0,0
FLOT2,38,31,23,4,194,54
DHRS13,4,1,4,1,15,8
PHF12,69,18,14,2,103,38
LOC101927018,0,0,0,0,0,0
SEZ6,1,1,2,0,1,1
PIPOX,1,1,1,0,7,0
MYO18A,21,7,3,0,9,2
TIAF1,0,0,0,0,0,0
CRYBA1,0,0,0,0,0,0
NUFIP2,277,70,104,25,508,214
MIR4523,0,0,0,0,0,0
TAOK1,186,77,51,16,439,203
ABHD15,24,6,3,2,45,13
TP53I13,237,60,98,32,417,189
GIT1,58,19,37,10,94,44
ANKRD13B,19,4,6,1,61,9
CORO6,0,1,2,0,30,5
SSH2,22,10,9,1,74,29
EFCAB5,3,1,2,0,1,1
NSRP1,255,70,61,23,312,152
MIR423,0,0,0,0,0,0
MIR3184,0,0,0,0,0,0
SLC6A4,0,0,0,1,0,0
BLMH,80,43,16,2,103,47
TMIGD1,0,0,0,0,0,0
CPD,87,45,17,10,460,145
GOSR1,207,72,107,14,400,145
SMURF2P1-LRRC37BP1,108,32,30,6,83,54
SH3GL1P2,2,0,0,0,0,2
SUZ12P1,29,16,15,3,63,16
CRLF3,18,11,5,3,45,15
ATAD5,7,2,4,0,13,2
TEFM,73,38,34,8,134,52
ADAP2,4,0,2,0,0,1
RNF135,81,9,29,8,107,37
DPRXP4,4,0,0,0,3,0
LOC107984974,26,8,7,0,22,11
LOC646030,0,0,0,0,0,0
MIR4733,0,0,0,0,0,0
NF1,134,62,32,4,236,91
OMG,0,0,0,0,0,0
EVI2B,0,6,0,0,0,0
EVI2A,0,64,1,0,1,5
RAB11FIP4,0,5,4,1,11,4
MIR4724,0,0,0,0,0,0
MIR193A,0,0,0,0,0,0
MIR4725,0,0,0,0,0,0
MIR365B,0,0,0,0,0,0
COPRS,356,603,252,75,2193,705
UTP6,133,61,45,15,354,102
SUZ12,134,53,52,13,202,100
LRRC37B,15,2,7,0,22,2
SH3GL1P1,4,2,4,0,4,0
LOC105371730,15,1,8,0,17,6
RHOT1,96,28,27,5,142,61
ARGFXP2,0,0,0,0,0,0
RHBDL3,0,0,0,0,0,0
C17orf75,103,29,42,16,183,47
MIR632,0,0,1,0,0,0
ZNF207,165,114,56,18,407,162
PSMD11,444,179,197,33,898,340
CDK5R1,11,0,1,0,8,3
MYO1D,71,4,33,0,48,24
TMEM98,213,166,138,35,2296,502
SPACA3,0,0,0,0,0,0
ASIC2,0,0,0,0,0,0
AA06,0,0,0,0,0,0
LINC01989,0,0,0,0,0,0
CCL2,6,241,32,51,5002,47
CCL7,0,2,0,0,9,11
CCL11,0,0,0,0,0,0
CCL8,0,0,0,0,0,0
CCL13,0,0,0,0,0,0
CCL1,0,0,0,0,0,0
C17orf102,0,0,0,0,0,0
TMEM132E,0,0,0,0,2,0
CCT6B,13,10,2,2,17,7
ZNF830,84,23,25,3,124,51
LIG3,32,13,1,3,101,22
RFFL,6,3,1,0,11,3
RAD51L3-RFFL,0,0,0,0,0,0
RAD51D,23,16,8,1,55,17
FNDC8,0,0,0,0,0,0
NLE1,23,21,3,0,44,15
UNC45B,0,0,0,0,0,0
SLC35G3,0,0,0,0,0,0
SLFN5,354,190,113,30,433,290
SLFN11,31,1,0,0,6,2
SLFN12,42,4,14,4,43,23
SLFN13,3,0,0,0,2,0
SLFN12L,0,0,0,0,0,0
SLFN14,1,0,0,0,0,0
LOC107985033,1,0,0,0,0,0
SNHG30,46,25,40,4,94,34
SNORD7,0,0,0,0,0,0
PEX12,17,10,5,2,36,12
AP2B1,230,112,44,15,389,264
RASL10B,35,7,12,1,58,24
GAS2L2,0,0,0,0,0,0
MMP28,4,3,2,0,35,19
C17orf50,0,0,0,0,0,0
TAF15,140,57,48,9,258,123
HEATR9,0,0,0,0,0,0
CCL5,0,0,0,0,2,0
LRRC37A8P,0,0,0,0,0,0
RDM1,1,0,0,0,0,0
LYZL6,0,0,0,0,0,0
CCL16,0,0,0,0,0,0
CCL14,0,0,0,0,0,0
CCL15-CCL14,0,0,0,0,0,0
CCL15,0,0,0,0,0,0
CCL23,0,0,0,0,0,0
CCL18,0,0,0,0,0,0
CCL3,0,0,0,0,0,0
CCL3L1,0,0,0,0,0,0
CCL4L1,0,0,0,0,0,0
CCL4,0,0,0,0,0,0
CCL4L2,0,0,0,0,0,0
TBC1D3H,0,0,0,0,0,0
TBC1D3B,0,0,0,0,0,0
TBC1D3D,0,0,0,0,0,0
TBC1D3G,0,0,0,0,0,0
TBC1D3I,0,0,0,0,0,0
TBC1D3L,0,0,0,0,0,0
CCL3L3,0,0,0,0,0,0
NPEPPSP1,5,4,1,0,16,9
LOC101929950,0,0,0,0,2,1
TBC1D3K,0,0,0,0,0,0
TBC1D3F,0,0,0,0,0,0
TBC1D3J,0,0,0,0,0,0
ZNHIT3,160,131,108,28,391,188
MYO19,31,20,9,2,50,18
PIGW,9,11,10,0,47,15
GGNBP2,265,98,165,28,470,168
DHRS11,8,13,5,0,29,15
MRM1,6,3,2,2,26,9
LHX1-DT,0,0,0,0,0,0
LHX1,0,0,0,0,0,0
AATF,90,38,65,12,159,73
MIR2909,0,0,0,0,0,0
ACACA,47,24,5,3,58,21
SNORA90,0,0,0,0,0,0
C17orf78,0,0,0,0,0,0
TADA2A,22,12,13,2,31,6
DUSP14,330,132,116,42,515,218
SYNRG,168,42,37,5,155,64
DDX52,317,59,89,22,331,132
MIR378J,0,0,0,0,0,0
HNF1B,0,0,0,0,0,0
YWHAEP7,0,0,0,0,0,0
TBC1D3,0,0,0,0,0,0
TBC1D3C,0,0,0,0,0,0
TBC1D3E,0,0,0,0,0,0
MRPL45,101,69,45,7,235,71
GPR179,0,0,0,0,1,0
SOCS7,26,4,6,3,40,23
ARHGAP23,137,47,55,9,171,84
SRCIN1,0,0,2,0,1,0
EPOP,0,5,5,0,4,6
LOC105371763,6,2,9,0,17,11
MIR4734,0,0,0,0,0,0
MLLT6,43,17,12,4,107,31
MIR4726,0,0,0,0,0,0
CISD3,134,89,61,15,398,73
PCGF2,251,80,52,14,352,182
LOC100287808,3,2,2,0,1,2
PSMB3,683,396,326,91,2275,788
PIP4K2B,85,38,20,7,156,52
CWC25,75,28,36,8,111,49
MIR4727,0,0,0,0,0,0
C17orf98,0,0,0,0,0,0
RPL23,1431,1328,719,160,4142,2332
SNORA21B,0,0,0,0,0,0
SNORA21,0,0,0,0,0,0
LASP1,445,186,93,49,904,334
MIR6779,0,0,0,0,0,0
LINC00672,44,10,15,1,25,8
FBXO47,0,0,0,0,0,0
LINC02079,0,0,0,0,0,0
LRRC37A11P,0,0,1,0,2,0
RDM1P5,0,0,0,1,2,0
PLXDC1,15,3,2,3,31,7
ARL5C,0,0,0,0,0,0
CACNB1,2,3,4,3,11,6
RPL19,6715,6559,2996,603,18795,8520
STAC2,1,0,0,0,0,1
LOC101929578,0,0,0,0,0,0
FBXL20,49,22,12,5,113,46
MIR548BC,0,0,0,0,0,0
MED1,86,34,28,5,148,63
CDK12,136,49,43,14,244,102
NEUROD2,0,0,0,0,0,0
PPP1R1B,0,0,0,0,0,0
STARD3,89,44,35,14,217,76
TCAP,2,0,1,0,5,3
PNMT,0,0,0,1,27,3
PGAP3,4,5,3,1,48,16
ERBB2,86,30,16,15,289,81
MIR4728,0,0,0,0,0,0
MIEN1,386,209,260,51,1152,436
GRB7,0,0,1,0,0,0
IKZF3,0,1,0,0,2,0
ZPBP2,0,0,0,0,0,0
GSDMB,7,1,5,2,53,11
ORMDL3,59,14,31,8,195,62
LRRC3C,0,0,0,0,0,0
GSDMA,0,0,0,0,13,1
PSMD3,269,125,144,26,654,265
CSF3,0,0,0,0,0,0
MED24,68,30,6,8,156,65
MIR6884,0,0,0,0,0,0
SNORD124,0,0,0,0,0,0
THRA,53,43,15,3,160,39
NR1D1,14,4,15,1,30,30
MSL1,150,64,35,11,326,128
CASC3,131,42,38,10,155,70
MIR6866,0,0,0,0,0,0
RAPGEFL1,5,3,0,0,5,3
MIR6867,0,0,0,0,0,0
WIPF2,86,38,24,11,139,78
CDC6,4,2,1,1,12,4
RARA,135,60,39,8,200,75
RARA-AS1,30,14,16,3,113,26
GJD3,2,0,1,0,2,2
TOP2A,0,44,1,0,4,0
IGFBP4,1430,576,98,245,11070,1994
TNS4,0,1,0,0,5,2
CCR7,0,0,0,0,0,0
SMARCE1,229,114,72,23,421,144
KRT222,0,0,0,0,0,0
KRT24,0,0,0,0,0,0
KRT25,0,0,0,0,0,0
KRT26,0,0,0,0,0,0
KRT27,0,0,0,0,0,0
KRT28,0,0,0,0,0,0
KRT10,1396,595,510,130,3682,1469
TMEM99,84,59,46,16,254,98
KRT12,0,0,0,0,0,0
KRT20,0,0,0,0,0,0
KRT23,0,0,0,0,0,1
KRT39,0,0,0,0,0,0
KRT40,0,0,0,0,0,0
KRTAP3-3,0,0,0,0,0,0
KRTAP3-2,0,0,0,0,0,0
KRTAP3-1,0,0,0,0,2,0
KRTAP1-5,0,0,0,1,27,3
KRTAP1-4,0,0,0,0,0,0
KRTAP1-3,0,0,0,0,0,0
KRTAP1-1,0,0,0,0,0,0
KRTAP9-7,0,0,0,0,0,0
KRTAP2-1,0,0,0,0,0,0
KRTAP2-2,0,0,0,0,0,0
KRTAP2-3,10,50,2,7,0,50
KRTAP2-4,0,0,0,0,0,0
LOC100996750,0,0,0,0,0,0
KRTAP4-7,0,0,0,0,0,0
KRTAP4-8,1,0,0,0,0,0
KRTAP4-9,0,0,0,0,0,0
KRTAP4-11,0,0,0,0,0,0
KRTAP4-12,6,0,0,0,0,0
KRTAP4-6,0,0,0,0,0,0
KRTAP4-5,0,0,0,0,0,0
KRTAP4-4,0,0,0,0,0,0
KRTAP4-3,0,0,0,0,0,0
KRTAP4-2,0,0,0,0,0,0
KRTAP4-1,0,0,0,0,0,0
KRTAP9-1,0,0,0,0,0,0
KRTAP9-2,0,0,0,0,0,0
KRTAP9-3,0,0,0,0,0,0
KRTAP9-9,0,0,0,0,0,0
KRTAP9-8,0,0,0,0,0,0
KRTAP9-4,0,0,0,0,0,0
KRTAP9-6,0,0,0,0,0,0
KRTAP29-1,0,0,0,0,0,0
KRTAP16-1,0,0,0,0,0,0
KRTAP17-1,0,0,0,0,0,0
KRT33A,0,0,0,0,0,0
KRT33B,0,1,0,0,11,1
KRT34,2,1,1,0,21,49
KRT31,0,0,0,0,0,0
LOC100505782,0,0,0,0,0,0
KRT37,0,0,0,0,1,0
KRT38,0,0,0,0,0,0
KRT32,1,0,1,0,0,0
KRT35,0,0,0,0,0,0
KRT36,0,0,0,0,0,0
KRT13,0,0,0,0,0,0
KRT15,0,2,0,0,3,0
MIR6510,0,0,0,0,0,0
KRT19,1,208,0,20,336,381
LINC00974,0,0,0,0,0,0
KRT9,0,0,0,0,0,0
KRT14,0,0,0,0,0,0
KRT16,4,0,0,2,1,3
KRT17,525,11,2,81,245,156
KRT42P,0,0,0,0,0,0
EIF1,8610,4477,3115,902,15978,7727
GAST,0,0,0,0,0,0
HAP1,0,1,2,0,2,0
JUP,62,15,84,11,125,86
P3H4,317,118,56,28,853,293
FKBP10,977,178,111,76,2880,731
NT5C3B,260,109,116,31,461,170
KLHL10,0,0,0,0,0,0
KLHL11,27,10,8,3,66,23
ACLY,165,92,63,27,1237,273
TTC25,0,0,2,0,9,1
CNP,171,70,87,14,438,103
DNAJC7,306,181,138,26,491,219
NKIRAS2,208,86,113,14,383,126
ZNF385C,3,0,0,0,2,0
C17orf113,2,2,0,0,1,0
DHX58,0,0,1,0,0,0
KAT2A,42,20,9,1,133,44
HSPB9,0,0,0,0,0,0
RAB5C,599,306,372,88,1109,429
KCNH4,0,0,0,0,0,0
HCRT,0,0,0,0,1,1
GHDC,0,0,0,0,0,2
STAT5B,24,7,4,4,86,23
STAT5A,4,3,2,0,19,8
STAT3,257,97,63,18,694,133
CAVIN1,1671,774,282,176,2914,1096
ATP6V0A1,91,33,37,12,272,96
MIR548AT,0,0,0,0,0,0
MIR5010,0,0,0,0,0,0
NAGLU,139,72,31,11,397,118
LOC108783654,47,20,9,2,112,29
HSD17B1,19,7,12,2,48,33
COASY,100,63,52,10,188,72
MLX,123,56,54,20,294,95
PSMC3IP,16,4,6,1,13,14
RETREG3,66,33,25,14,214,73
TUBG1,214,79,59,22,396,116
TUBG2,41,13,12,6,70,37
PLEKHH3,85,36,35,4,56,41
CCR10,7,4,4,0,3,7
CNTNAP1,7,14,2,0,18,10
EZH1,47,26,14,4,69,31
MIR6780A,0,0,0,0,0,0
RAMP2-AS1,3,1,0,0,1,1
RAMP2,27,5,10,2,15,7
VPS25,310,170,128,17,758,363
WNK4,8,10,4,0,2,18
COA3,332,187,93,42,796,351
CNTD1,0,1,2,0,0,1
BECN1,153,59,64,24,290,148
MIR6781,0,0,0,0,0,0
PSME3,123,68,27,8,285,96
AOC2,1,0,4,0,22,2
AOC3,0,0,2,0,5,0
AOC4P,0,0,0,0,0,0
LINC00671,0,0,0,0,1,0
G6PC,0,0,0,0,0,0
AARSD1,0,0,0,0,0,0
PTGES3L-AARSD1,0,0,0,0,0,0
PTGES3L,6,2,3,1,5,2
RUNDC1,50,23,33,4,90,41
RPL27,3411,2158,1143,299,8409,3972
IFI35,44,23,13,0,37,9
VAT1,524,245,198,64,1038,490
RND2,7,2,2,0,13,8
BRCA1,9,4,4,1,15,6
NBR2,11,8,7,1,23,14
LOC101929767,9,1,3,0,26,8
NBR1,196,78,42,21,363,140
TMEM106A,11,4,1,4,28,10
CCDC200,0,0,0,0,0,0
RNU2-1,0,1,0,0,0,0
LINC00910,1,1,1,0,5,1
ARL4D,118,67,41,13,294,87
MIR2117HG,0,0,0,0,0,0
MIR2117,0,0,0,0,0,0
DHX8,78,19,34,6,112,42
ETV4,3,2,12,4,23,17
MEOX1,0,0,0,0,0,0
SOST,0,0,0,0,0,0
DUSP3,113,24,40,23,267,126
CFAP97D1,0,0,0,0,0,0
MPP3,9,4,7,0,54,4
CD300LG,0,0,0,0,0,0
MPP2,4,3,4,0,10,6
FAM215A,0,0,0,0,0,0
LINC01976,0,0,0,0,0,0
PPY,0,0,0,0,3,0
PYY,0,0,0,0,0,1
NAGS,3,1,3,1,6,16
TMEM101,79,51,37,7,304,88
LSM12,228,90,80,12,683,225
G6PC3,130,88,35,16,325,162
HDAC5,107,34,37,5,45,39
LOC105371789,0,0,0,0,0,0
HROB,0,0,3,0,5,0
ASB16,0,0,0,0,1,0
ASB16-AS1,27,17,7,2,43,25
TMUB2,97,57,44,7,219,82
ATXN7L3,76,23,20,4,121,37
UBTF,178,101,69,15,269,99
MIR6782,0,0,0,0,0,0
SLC4A1,0,0,0,0,0,0
RUNDC3A-AS1,6,1,4,1,6,4
RUNDC3A,1,0,4,0,2,0
SLC25A39,373,190,154,34,655,269
GRN,630,356,248,70,1993,775
FAM171A2,32,16,11,5,68,34
ITGA2B,2,0,0,0,0,0
GPATCH8,95,39,54,5,142,54
FZD2,509,207,84,51,259,135
LINC01180,0,0,0,0,0,0
MEIOC,0,0,0,0,0,0
CCDC43,92,45,46,10,169,84
DBF4B,3,4,3,0,5,2
ADAM11,0,0,0,0,0,0
GJC1,11,19,2,3,44,23
HIGD1B,0,0,0,0,0,0
EFTUD2,52,36,12,12,107,49
CCDC103,2,3,2,0,13,3
GFAP,0,0,0,0,0,0
FAM187A,0,0,0,0,0,0
KIF18B,0,3,0,0,0,0
MIR6783,0,0,0,0,0,0
C1QL1,1,3,0,0,3,33
DCAKD,50,28,12,6,97,49
NMT1,106,50,41,16,242,149
PLCD3,206,38,36,16,445,77
MIR6784,0,0,0,0,0,0
ACBD4,5,1,0,0,10,11
HEXIM1,131,46,50,7,286,63
HEXIM2,45,21,20,5,58,10
LOC105371795,6,1,0,0,0,0
LOC339192,0,1,0,0,0,0
FMNL1,4,10,3,0,10,4
MAP3K14-AS1,0,0,0,0,2,2
SPATA32,0,0,0,0,0,0
MAP3K14,8,13,4,4,7,15
ARHGAP27,2,2,3,0,11,7
PLEKHM1,31,18,18,3,91,47
MIR4315-1,0,0,0,0,0,0
MIR4315-2,0,0,0,0,0,0
LRRC37A4P,4,4,5,0,4,4
ARL17A,31,13,28,5,101,26
ARL17B,14,1,3,0,1,20
MAPK8IP1P2,18,0,0,0,0,8
LINC02210,36,7,4,2,15,28
LINC02210-CRHR1,0,0,0,0,0,0
CRHR1,0,0,0,0,0,0
MAPT-AS1,0,0,0,0,0,0
SPPL2C,0,0,0,0,0,0
MAPT,1,0,1,0,12,2
MAPT-IT1,0,0,0,0,0,0
STH,0,0,0,0,0,0
KANSL1,92,36,32,8,128,74
KANSL1-AS1,52,7,8,1,24,37
LRRC37A,0,0,3,0,0,1
NSFP1,0,0,0,0,0,1
LRRC37A2,0,0,0,0,0,0
NSF,70,26,12,4,170,63
WNT3,22,1,11,0,14,3
WNT9B,0,0,0,0,0,0
GOSR2,105,52,47,12,395,110
MIR5089,0,0,0,0,0,0
RPRML,0,1,1,0,67,2
CDC27,183,82,60,22,377,130
MYL4,3,1,1,0,0,4
ITGB3,1,6,2,0,12,7
THCAT158,0,0,0,0,0,0
EFCAB13,2,0,1,1,3,2
MRPL45P2,7,3,1,0,26,8
NPEPPS,139,88,40,12,436,200
KPNB1,489,335,142,48,1187,465
TBKBP1,16,11,25,4,70,17
TBX21,0,0,0,0,0,0
OSBPL7,19,10,3,1,35,11
MRPL10,77,71,46,12,271,89
LRRC46,0,0,0,0,3,0
SCRN2,27,21,5,1,129,36
SP6,0,1,0,0,44,0
LOC102724532,15,8,1,4,105,21
SP2,20,11,15,1,51,30
SP2-AS1,2,0,1,1,5,1
PNPO,29,9,6,1,107,25
PRR15L,0,0,0,0,0,0
CDK5RAP3,117,66,26,9,371,126
COPZ2,882,67,79,70,1870,396
MIR10226,0,0,0,0,0,0
MIR152,0,0,0,0,0,0
NFE2L1,438,126,75,53,613,352
CBX1,268,114,121,15,327,165
SNX11,50,19,18,3,123,39
SKAP1,0,0,0,0,0,0
MIR1203,0,0,0,0,0,0
THRA1/BTR,0,0,0,0,0,0
LOC101927166,0,0,0,0,0,0
HOXB1,0,0,0,0,0,0
HOXB2,0,76,1,17,495,9
HOXB-AS1,1,17,1,1,24,0
HOXB3,0,10,0,2,115,1
HOXB4,0,4,0,0,147,0
MIR10A,0,0,0,0,0,0
HOXB-AS3,0,0,0,0,37,0
HOXB5,0,1,0,0,168,1
HOXB6,0,0,0,0,307,1
HOXB7,0,5,0,1,607,5
HOXB8,0,1,0,0,151,2
HOXB9,0,1,1,0,134,23
MIR196A1,0,0,0,0,0,0
PRAC1,0,0,0,0,62,16
PRAC2,0,4,0,0,80,38
MIR3185,0,0,0,0,0,0
HOXB13,0,1,0,0,59,26
TTLL6,0,0,0,0,1,0
CALCOCO2,156,76,39,14,322,181
LOC105371814,0,0,0,0,2,2
ATP5MC1,683,317,218,72,2071,793
UBE2Z,360,149,118,38,690,407
SNF8,748,391,237,82,1611,532
GIP,0,1,0,0,41,6
IGF2BP1,140,59,47,13,341,95
B4GALNT2,0,0,1,0,1,0
GNGT2,0,0,0,0,0,0
ABI3,0,1,0,0,0,0
PHOSPHO1,0,0,0,0,3,0
FLJ40194,0,0,0,0,0,0
MIR6129,0,0,0,0,0,0
ZNF652,109,39,41,6,229,65
LOC102724596,1,0,0,0,1,0
PHB,656,331,275,78,1738,536
LINC02075,0,0,0,0,0,0
NGFR,0,0,23,0,5,0
LOC100288866,0,0,0,0,0,0
MIR6165,0,0,0,0,0,0
NXPH3,4,2,2,2,0,8
SPOP,231,80,76,14,298,157
SLC35B1,285,104,78,26,570,142
FAM117A,5,0,4,0,9,10
KAT7,61,15,24,4,97,47
TAC4,0,0,0,0,0,0
FLJ45513,1,0,1,0,1,0
DLX4,0,1,0,0,3,0
DLX3,0,0,1,0,1,0
PICART1,2,1,1,0,1,3
ITGA3,435,98,137,50,508,405
PDK2,115,57,40,5,173,113
SAMD14,23,7,4,2,25,12
PPP1R9B,82,40,25,5,209,78
SGCA,1,2,0,2,2,6
H1-9P,1,2,1,0,4,2
COL1A1,33862,14604,281,3985,86142,25489
LINC01969,6,0,3,1,38,3
TMEM92,8,6,0,4,12,5
TMEM92-AS1,0,1,0,0,2,3
XYLT2,33,23,18,13,313,130
MRPL27,459,217,155,46,1252,456
EME1,0,2,3,0,2,0
LRRC59,373,216,123,65,879,317
ACSF2,14,22,12,1,23,40
CHAD,0,0,0,0,0,0
RSAD1,73,32,32,3,116,41
MYCBPAP,1,0,0,1,1,1
EPN3,0,0,0,0,0,0
LOC105371824,0,0,0,0,0,0
SPATA20,125,75,31,20,257,185
CACNA1G-AS1,0,0,0,0,0,1
CACNA1G,0,0,0,0,0,0
ABCC3,2,5,3,2,101,75
ANKRD40,91,41,12,10,208,83
LUC7L3,393,162,155,31,744,357
ANKRD40CL,0,0,0,0,0,0
MIR8059,0,0,0,0,0,0
WFIKKN2,0,0,0,0,0,0
TOB1,117,42,42,15,243,172
TOB1-AS1,1,4,3,2,12,6
SPAG9,263,77,99,21,489,181
NME1,903,449,324,99,3141,897
NME1-NME2,0,0,0,0,2,0
NME2,66,53,18,11,180,80
MBTD1,10,11,4,2,53,13
UTP18,67,46,36,5,148,44
LINC02071,0,0,0,0,0,0
LINC02072,0,0,0,0,0,0
LINC02073,0,1,0,0,0,0
CA10,0,0,0,0,0,0
LINC01982,0,0,0,0,0,0
LINC02089,0,0,0,0,0,0
C17orf112,0,0,0,0,0,0
KIF2B,0,0,0,0,0,0
TOM1L1,46,18,20,6,75,19
COX11,110,70,25,25,347,110
STXBP4,24,11,6,3,60,24
HLF,1,0,0,0,0,0
MMD,13,7,1,2,563,33
TMEM100,0,0,0,0,8,7
PCTP,17,7,5,1,43,16
ANKFN1,4,0,0,0,18,3
NOG,18,2,24,4,41,52
C17orf67,10,11,8,2,29,12
DGKE,12,4,14,1,24,20
MTVR2,0,0,0,0,1,0
TRIM25,37,25,15,18,107,49
MIR3614,0,0,0,0,0,0
COIL,90,44,44,9,123,66
SCPEP1,134,95,25,26,229,211
RNF126P1,0,0,0,0,0,0
AKAP1,29,13,13,7,61,18
MSI2,46,46,22,13,171,209
LOC101927557,0,0,0,0,0,0
LOC101927539,0,0,0,0,0,0
CCDC182,0,0,0,0,0,0
